

[2019-12-13 21:53:20] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-13 23:43:20] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-13 23:45:55] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-13 23:46:22] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 00:15:27] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 04:00:55] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 13:47:37] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-14 13:48:21] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-14 18:34:06] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 00:05:51] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 00:36:18] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 00:38:02] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 01:21:05] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 01:21:26] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 01:34:19] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 01:37:16] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-16 01:37:38] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 01:40:18] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 01:41:38] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-16 01:41:55] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-16 01:42:14] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 20:24:41] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 22:19:27] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 22:57:12] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 23:04:12] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 23:06:51] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-12-16 23:07:31] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 23:10:07] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 23:10:39] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-12-16 23:11:09] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
